"New Hampshire"
2013
"NEIWPCC- http://neiwpcc.org/our-programs/wetlands-aquatic-species/nebawwg/nqa/"
"New Hampshire  , 2013"

"Total Species:",2225
"Native Species:",1574
"Non-native Species:",651
"Total Mean C:",3.4
"Native Mean C:",4.9

"Scientific Name",Family,Acronym,Native?,C,W,Physiognomy,Duration,"Common Name"
"Abies balsamea",,ABBA,native,3,,,,"balsam fir"
"Abies balsamea var. phanerolepis",,ABBAP,non-native,0,,,,"canaan fir"
"Abutilon theophrasti",,ABTH,non-native,0,,,,velvetleaf
"Acalypha gracilens",,ACGR2,non-native,0,,,,"slender threeseed mercury"
"Acalypha rhomboidea",,ACRH,native,2,,,,"common threeseed mercury"
"Acalypha virginica",,ACVI,native,2,,,,"virginia threeseed mercury"
"Acer ginnala",,ACGI,non-native,0,,,,"amur maple"
"Acer negundo",,ACNE2,native,3,,,,boxelder
"Acer nigrum",,ACNI5,native,7,,,,"black maple"
"Acer pensylvanicum",,ACPE,native,4,,,,"striped maple"
"Acer platanoides",,ACPL,non-native,0,,,,"norway maple"
"Acer rubrum",,ACRU,native,3,,,,"red maple"
"Acer rubrum var. trilobum",,ACRUT,native,3,,,,"red maple"
"Acer saccharinum",,ACSA2,native,7,,,,"silver maple"
"Acer saccharum",,ACSA3,native,6,,,,"sugar maple"
"Acer spicatum",,ACSP2,native,5,,,,"mountain maple"
"Achillea millefolium",,ACMI2,non-native,0,,,,"common yarrow"
"Achillea millefolium var. borealis",,ACMI2,native,4,,,,"common yarrow"
"Achillea millefolium var. occidentalis",,ACMI2,non-native,0,,,,"common yarrow"
"Achillea ptarmica",,ACPT,non-native,0,,,,sneezeweed
"Aconitum napellus",,ACNA,non-native,0,,,,"venus chariot"
"Aconitum uncinatum",,ACUN,non-native,0,,,,"southern blue monkshood"
"Acorus calamus",,ACCA4,native,5,,,,calamus
"Actaea pachypoda",,ACPA,native,6,,,,"white baneberry"
"Actaea rubra",,ACRU2,native,6,,,,"red baneberry"
"Adiantum pedatum",,ADPE,native,8,,,,"northern maidenhair"
"Adlumia fungosa",,ADFU,native,7,,,,"allegheny vine"
"Aegopodium podagraria",,AEPO,non-native,0,,,,"bishops goutweed"
"Aesculus glabra",,AEGL,non-native,0,,,,"ohio buckeye"
"Agalinis maritima",,AGMA3,native,8,,,,"saltmarsh false foxglove"
"Agalinis paupercula",,AGPA12,native,4,,,,"smallflower false foxglove"
"Agalinis purpurea",,AGPU5,native,4,,,,"purple false foxglove"
"Agalinis tenuifolia",,AGTE3,native,4,,,,"slenderleaf false foxglove"
"Agastache foeniculum",,AGFO,non-native,0,,,,"blue giant hyssop"
"Agastache scrophulariifolia",,AGSC,native,3,,,,"purple giant hyssop"
"Ageratina altissima",,AGAL5,native,6,,,,"white snakeroot"
"Agrimonia gryposepala",,AGGR2,native,4,,,,"tall hairy agrimony"
"Agrimonia striata",,AGST,native,3,,,,"roadside agrimony"
"Agropyron cristatum",,AGCR,native,3,,,,"crested wheatgrass"
"Agrostemma githago",,AGGI,non-native,0,,,,"common corncockle"
"Agrostis canina",,AGCA4,non-native,0,,,,"velvet bentgrass"
"Agrostis capillaris",,AGCA5,non-native,0,,,,"colonial bentgrass"
"Agrostis gigantea",,AGGI2,non-native,0,,,,redtop
"Agrostis hyemalis",,AGHY,native,2,,,,"winter bentgrass"
"Agrostis mertensii",,AGME3,native,8,,,,"northern bentgrass"
"Agrostis perennans",,AGPE,native,2,,,,"upland bentgrass"
"Agrostis scabra",,AGSC5,native,3,,,,"rough bentgrass"
"Agrostis stolonifera",,AGST2,native,3,,,,"creeping bentgrass"
"Agrostis stolonifera var. palustris",,AGSTP,non-native,0,,,,"carpet bentgrass"
"Aira caryophyllea",,AICA,non-native,0,,,,"silver hairgrass"
"Aletris farinosa",,ALFA2,native,3,,,,"white colicroot"
"Alisma subcordatum",,ALSU,native,4,,,,"american water plantain"
"Alisma triviale",,ALTR7,native,4,,,,"northern water plantain"
"Alliaria petiolata",,ALPE4,non-native,0,,,,"garlic mustard"
"Allium burdickii",,ALBU2,native,7,,,,"narrowleaf wild leek"
"Allium canadense",,ALCA3,native,7,,,,"meadow garlic"
"Allium schoenoprasum",,ALSC,native,6,,,,"wild chives"
"Allium tricoccum",,ALTR3,native,7,,,,ramp
"Allium �proliferum",,ALCE,non-native,0,,,,"garden onion"
"Alnus incana",,ALIN2,native,3,,,,"gray alder"
"Alnus incana ssp. rugosa",,ALINR,native,3,,,,"speckled alder"
"Alnus serrulata",,ALSE2,native,4,,,,"hazel alder"
"Alnus viridis",,ALVI5,native,6,,,,"green alder"
"Alnus viridis ssp. crispa",,ALVIC,native,6,,,,"mountain alder"
"Alopecurus aequalis",,ALAE,native,2,,,,"shortawn foxtail"
"Alopecurus geniculatus",,ALGE2,non-native,0,,,,"water foxtail"
"Alopecurus pratensis",,ALPR3,non-native,0,,,,"meadow foxtail"
"Amaranthus albus",,AMAL,non-native,0,,,,"prostrate pigweed"
"Amaranthus blitoides",,AMBL,non-native,0,,,,"mat amaranth"
"Amaranthus blitum",,AMBL2,non-native,0,,,,"purple amaranth"
"Amaranthus cannabinus",,AMCA2,native,5,,,,"tidalmarsh amaranth"
"Amaranthus cruentus",,AMCR4,non-native,0,,,,"red amaranth"
"Amaranthus hybridus",,AMHY,non-native,0,,,,"slim amaranth"
"Amaranthus powellii",,AMPO2,non-native,0,,,,"powells amaranth"
"Amaranthus retroflexus",,AMRE,non-native,0,,,,"redroot amaranth"
"Amaranthus tuberculatus",,AMTU,non-native,0,,,,"roughfruit amaranth"
"Ambrosia artemisiifolia",,AMAR2,native,2,,,,"annual ragweed"
"Ambrosia psilostachya",,AMPS,non-native,0,,,,"cuman ragweed"
"Ambrosia trifida",,AMTR,native,2,,,,"great ragweed"
"Amelanchier arborea",,AMAR3,native,4,,,,"common serviceberry"
"Amelanchier bartramiana",,AMBA,native,5,,,,"oblongfruit serviceberry"
"Amelanchier canadensis",,AMCA4,native,4,,,,"canadian serviceberry"
"Amelanchier laevis",,AMLA,native,3,,,,"allegheny serviceberry"
"Amelanchier sanguinea",,AMSA,native,3,,,,"roundleaf serviceberry"
"Amelanchier stolonifera",,AMHU2,native,3,,,,"low serviceberry"
"Amerorchis rotundifolia",,AMRO,native,9,,,,"roundleaf orchid"
"Ammophila breviligulata",,AMBR,native,3,,,,"american beachgrass"
"Amorpha fruticosa",,AMFR,non-native,0,,,,"desert false indigo"
"Ampelopsis brevipedunculata",,AMBR7,non-native,0,,,,"amur peppervine"
"Amphicarpaea bracteata",,AMBR2,native,3,,,,"american hogpeanut"
"Amsinckia lycopsoides",,AMLY,non-native,0,,,,"tarweed fiddleneck"
"Amsinckia menziesii",,AMME,non-native,0,,,,"menzies fiddleneck"
"Amsinckia menziesii var. intermedia",,AMMEI2,non-native,0,,,,"common fiddleneck"
"Anagallis arvensis",,ANAR,non-native,0,,,,"scarlet pimpernel"
"Anaphalis margaritacea",,ANMA,native,3,,,,"western pearly everlasting"
"Anchusa arvensis",,ANAR16,non-native,0,,,,"small bugloss"
"Anchusa azurea",,ANAZ,non-native,0,,,,"italian bugloss"
"Anchusa officinalis",,ANOF,non-native,0,,,,"common bugloss"
"Andromeda polifolia",,ANPO,native,8,,,,"bog rosemary"
"Andromeda polifolia var. glaucophylla",,ANPOG,native,8,,,,"bog rosemary"
"Andropogon gerardii",,ANGE,native,4,,,,"big bluestem"
"Anemone canadensis",,ANCA8,native,5,,,,"canadian anemone"
"Anemone cylindrica",,ANCY,native,5,,,,"candle anemone"
"Anemone quinquefolia",,ANQU,native,4,,,,"wood anemone"
"Anemone quinquefolia var. quinquefolia",,ANQUQ,native,5,,,,nightcaps
"Anemone virginiana",,ANVI3,native,3,,,,"tall thimbleweed"
"Anemone virginiana var. alba",,ANVIA2,native,3,,,,"tall thimbleweed"
"Angelica atropurpurea",,ANAT,native,3,,,,"purplestem angelica"
"Angelica lucida",,ANLU,native,6,,,,"seacoast angelica"
"Antennaria howellii ssp. canadensis",,ANHOC,native,3,,,,"canadian pussytoes"
"Antennaria howellii ssp. petaloidea",,ANHOP,native,3,,,,"small pussytoes"
"Antennaria neglecta",,ANNE,native,3,,,,"field pussytoes"
"Antennaria parlinii",,ANPA9,native,3,,,,"parlins pussytoes"
"Antennaria plantaginifolia",,ANPL,native,3,,,,"womans tobacco"
"Anthemis arvensis",,ANAR6,non-native,0,,,,"corn chamomile"
"Anthemis cotula",,ANCO2,non-native,0,,,,"stinking chamomile"
"Anthemis tinctoria",,COTI4,non-native,0,,,,"golden chamomile"
"Anthoxanthum aristatum",,ANAR7,non-native,0,,,,"annual vernalgrass"
"Anthoxanthum monticola",,ANMO7,non-native,0,,,,"alpine sweetgrass"
"Anthoxanthum odoratum",,ANOD,non-native,0,,,,"sweet vernalgrass"
"Anthyllis vulneraria",,ANVU,non-native,0,,,,"common kidneyvetch"
"Apios americana",,APAM,native,3,,,,groundnut
"Apocynum androsaemifolium",,APAN2,native,2,,,,"spreading dogbane"
"Apocynum cannabinum",,APCA,native,3,,,,indianhemp
"Apocynum sibiricum",,APCA,native,8,,,,indianhemp
"Aquilegia canadensis",,AQCA,native,7,,,,"red columbine"
"Aquilegia vulgaris",,AQVU,non-native,0,,,,"european columbine"
"Arabidopsis thaliana",,ARTH,non-native,0,,,,"mouseear cress"
"Arabis canadensis",,ARCA,native,7,,,,sicklepod
"Arabis drummondii",,ARDR,native,6,,,,"drummonds rockcress"
"Arabis glabra",,TUGL,native,2,,,,"tower rockcress"
"Arabis hirsuta",,ARHI,native,7,,,,"hairy rockcress"
"Arabis hirsuta var. pycnocarpa",,ARHIP,native,7,,,,"creamflower rockcress"
"Arabis laevigata",,ARLA,native,7,,,,"smooth rockcress"
"Arabis missouriensis",,ARMI5,native,7,,,,"green rockcress"
"Aralia elata",,AREL8,non-native,0,,,,"japanese angelica tree"
"Aralia hispida",,ARHI2,native,3,,,,"bristly sarsaparilla"
"Aralia nudicaulis",,ARNU2,native,4,,,,"wild sarsaparilla"
"Aralia racemosa",,ARRA,native,7,,,,"american spikenard"
"Arceuthobium pusillum",,ARPU3,native,5,,,,"eastern dwarf mistletoe"
"Arctium lappa",,ARLA3,non-native,0,,,,"greater burdock"
"Arctium minus",,ARMI2,non-native,0,,,,"lesser burdock"
"Arctium tomentosum",,ARTO,non-native,0,,,,"woolly burdock"
"Arctium vulgare",,ARLA3,non-native,0,,,,"greater burdock"
"Arctostaphylos alpina",,ARAL2,native,9,,,,"alpine bearberry"
"Arctostaphylos uva-ursi",,ARUV,native,6,,,,kinnikinnick
"Arenaria serpyllifolia",,ARSE2,non-native,0,,,,"thymeleaf sandwort"
"Arethusa bulbosa",,ARBU,native,9,,,,"dragons mouth"
"Argentina anserina",,ARAN7,native,6,,,,"silverweed cinquefoil"
"Argentina egedii",,AREG,native,6,,,,"pacific silverweed"
"Arisaema dracontium",,ARDR3,native,10,,,,"green dragon"
"Arisaema triphyllum",,ARTR,native,5,,,,"jack in the pulpit"
"Aristida basiramea",,ARBA2,native,3,,,,"forked threeawn"
"Aristida dichotoma",,ARDI4,non-native,0,,,,"churchmouse threeawn"
"Aristida longespica",,ARLO16,native,4,,,,"slimspike threeawn"
"Aristida oligantha",,AROL,non-native,0,,,,"prairie threeawn"
"Aristida tuberculosa",,ARTU,native,7,,,,"seaside threeawn"
"Armoracia rusticana",,ARRU4,non-native,0,,,,horseradish
"Arnica lanceolata",,ARLA7,native,9,,,,"lanceleaf arnica"
"Arnoseris minima",,ARMI3,non-native,0,,,,"lamb succory"
"Arrhenatherum elatius",,AREL3,non-native,0,,,,"tall oatgrass"
"Artemisia abrotanum",,ARAB2,non-native,0,,,,southernwood
"Artemisia absinthium",,ARAB3,non-native,0,,,,absinthium
"Artemisia annua",,ARAN3,non-native,0,,,,"sweet sagewort"
"Artemisia biennis",,ARBI2,non-native,0,,,,"biennial wormwood"
"Artemisia campestris",,ARCA12,native,3,,,,"field sagewort"
"Artemisia ludoviciana",,ARLU,non-native,0,,,,"white sagebrush"
"Artemisia pontica",,ARPO4,non-native,0,,,,"roman wormwood"
"Artemisia stelleriana",,ARST6,non-native,0,,,,oldwoman
"Artemisia vulgaris",,ARVU,non-native,0,,,,"common wormwood"
"Asarum canadense",,ASCA,native,8,,,,"canadian wildginger"
"Asclepias amplexicaulis",,ASAM,native,4,,,,"clasping milkweed"
"Asclepias exaltata",,ASEX,native,2,,,,"poke milkweed"
"Asclepias incarnata",,ASIN,native,4,,,,"swamp milkweed"
"Asclepias purpurascens",,ASPU2,native,3,,,,"purple milkweed"
"Asclepias quadrifolia",,ASQU,native,7,,,,"fourleaf milkweed"
"Asclepias syriaca",,ASSY,native,2,,,,"common milkweed"
"Asclepias tuberosa",,ASTU,native,3,,,,"butterfly milkweed"
"Asparagus officinalis",,ASOF,non-native,0,,,,"garden asparagus"
"Asplenium platyneuron",,ASPL,native,7,,,,"ebony spleenwort"
"Asplenium rhizophyllum",,ASRH2,native,8,,,,"walking fern"
"Asplenium trichomanes",,ASTR2,native,7,,,,"maidenhair spleenwort"
"Astragalus alpinus",,ASAL7,native,8,,,,"alpine milkvetch"
"Astragalus robbinsii",,ASRO,native,7,,,,"robbins milkvetch"
"Astragalus robbinsii var. jesupii",,ASROJ,native,9,,,,"jesups milkvetch"
"Athyrium filix-femina",,ATFI,native,4,,,,"common ladyfern"
"Athyrium filix-femina ssp. angustum",,ATFIA,native,5,,,,"subarctic ladyfern"
"Atriplex cristata",,ATCR2,native,7,,,,"crested saltbush"
"Atriplex glabriuscula",,ATGL,native,7,,,,"scotland orache"
"Atriplex glabriuscula var. glabriuscula",,ATGLG,native,8,,,,"northeastern saltbush"
"Atriplex littoralis",,ATLI3,non-native,0,,,,"grassleaf orache"
"Atriplex patula",,ATPA4,non-native,0,,,,"spear saltbush"
"Atriplex prostrata",,ATPR,native,6,,,,"triangle orache"
"Atriplex subspicata",,ATSU2,native,7,,,,"saline saltbush"
"Aureolaria flava",,AUFL,native,5,,,,"smooth yellow false foxglove"
"Aureolaria pedicularia",,AUPE2,native,8,,,,"fernleaf yellow false foxglove"
"Aureolaria virginica",,AUVI,native,8,,,,"downy yellow false foxglove"
"Aurinia saxatilis",,AUSA,non-native,0,,,,"basket of gold"
"Avena fatua",,AVFA,non-native,0,,,,"wild oat"
"Avena sativa",,AVSA,non-native,0,,,,"common oat"
"Azolla caroliniana",,AZCA,non-native,0,,,,"carolina mosquitofern"
"Baptisia australis",,BAAU,non-native,0,,,,"blue wild indigo"
"Baptisia tinctoria",,BATI,native,4,,,,horseflyweed
"Barbarea orthoceras",,BAOR,native,9,,,,"american yellowrocket"
"Barbarea vulgaris",,BAVU,non-native,0,,,,"garden yellowrocket"
"Bartonia paniculata",,BAPA2,native,4,,,,"twining screwstem"
"Bartonia virginica",,BAVI3,native,4,,,,"yellow screwstem"
"Bassia hirsuta",,BAHI3,non-native,0,,,,"hairy smotherweed"
"Bassia scoparia",,KOSC,non-native,0,,,,burningbush
"Bellis perennis",,BEPE2,non-native,0,,,,lawndaisy
"Berberis thunbergii",,BETH,non-native,0,,,,"japanese barberry"
"Berberis vulgaris",,BEVU,non-native,0,,,,"common barberry"
"Berteroa incana",,BEIN2,non-native,0,,,,"hoary alyssum"
"Beta vulgaris",,BEVU2,non-native,0,,,,"common beet"
"Betula alleghaniensis",,BEAL2,native,5,,,,"yellow birch"
"Betula glandulosa",,BEGL,native,9,,,,"dwarf birch"
"Betula lenta",,BELE,native,5,,,,"sweet birch"
"Betula minor",,BEMI,native,9,,,,"dwarf white birch"
"Betula nigra",,BENI,native,4,,,,"river birch"
"Betula papyrifera",,BEPA,native,3,,,,"paper birch"
"Betula papyrifera var. cordifolia",,BEPAC2,native,5,,,,"mountain paper birch"
"Betula pendula",,BEPE3,non-native,0,,,,"european white birch"
"Betula populifolia",,BEPO,native,3,,,,"gray birch"
"Betula pumila",,BEPU4,native,6,,,,"bog birch"
"Bidens aristosa",,BIAR,non-native,0,,,,"bearded beggarticks"
"Bidens beckii",,BIBE2,native,5,,,,"becks water-marigold"
"Bidens cernua",,BICE,native,3,,,,"nodding beggartick"
"Bidens connata",,BICO5,native,3,,,,"purplestem beggarticks"
"Bidens discoidea",,BIDI,native,2,,,,"small beggarticks"
"Bidens frondosa",,BIFR,native,1,,,,"devils beggartick"
"Bidens hyperborea",,BIHY,native,3,,,,"estuary beggarticks"
"Bidens laevis",,BILA,native,3,,,,"smooth beggartick"
"Bidens tripartita",,BITR,native,3,,,,"threelobe beggarticks"
"Bidens vulgata",,BIVU,native,3,,,,"big devils beggartick"
"Boehmeria cylindrica",,BOCY,native,6,,,,"smallspike false nettle"
"Borago officinalis",,BOOF,non-native,0,,,,"common borage"
"Botrychium dissectum",,BODI2,native,5,,,,"cutleaf grapefern"
"Botrychium lanceolatum",,BOLA,native,4,,,,"lanceleaf grapefern"
"Botrychium matricariifolium",,BOMA2,native,5,,,,"matricary grapefern"
"Botrychium multifidum",,BOMU,native,3,,,,"leathery grapefern"
"Botrychium oneidense",,BOON,native,6,,,,"bluntlobe grapefern"
"Botrychium simplex",,BOSI,native,3,,,,"little grapefern"
"Botrychium virginianum",,BOVI,native,7,,,,"rattlesnake fern"
"Brachyelytrum aristosum",,BRAR9,native,4,,,,"northern shorthusk"
"Brasenia schreberi",,BRSC,native,4,,,,watershield
"Brassica juncea",,BRJU,non-native,0,,,,"india mustard"
"Brassica napus",,BRNA,non-native,0,,,,rape
"Brassica nigra",,BRNI,non-native,0,,,,"black mustard"
"Brassica rapa",,BRRA,non-native,0,,,,"field mustard"
"Briza media",,BRME,non-native,0,,,,"perennial quakinggrass"
"Bromus arvensis",,BRAR5,non-native,0,,,,"field brome"
"Bromus ciliatus",,BRCI2,native,4,,,,"fringed brome"
"Bromus ciliatus var. ciliatus",,BRCI2,native,4,,,,"fringed brome"
"Bromus hordeaceus",,BRHO2,non-native,0,,,,"soft brome"
"Bromus hordeaceus ssp. hordeaceus",,BRHOH,native,2,,,,"soft brome"
"Bromus inermis",,BRIN2,non-native,0,,,,"smooth brome"
"Bromus kalmii",,BRKA2,native,5,,,,"arctic brome"
"Bromus latiglumis",,BRLA4,native,6,,,,"earlyleaf brome"
"Bromus marginatus",,BRMA4,non-native,0,,,,"mountain brome"
"Bromus pubescens",,BRPU6,native,5,,,,"hairy woodland brome"
"Bromus racemosus",,BRRA2,non-native,0,,,,"bald brome"
"Bromus secalinus",,BRSE,non-native,0,,,,"rye brome"
"Bromus tectorum",,BRTE,non-native,0,,,,cheatgrass
"Buglossoides arvensis",,BUAR3,non-native,0,,,,"corn gromwell"
"Bulbostylis capillaris",,BUCA2,native,3,,,,"densetuft hairsedge"
"Bunias orientalis",,BUOR,non-native,0,,,,"turkish wartycabbage"
"Bupleurum rotundifolium",,BURO,non-native,0,,,,"hares ear"
"Cabomba caroliniana",,CACA,non-native,0,,,,"carolina fanwort"
"Cakile edentula",,CAED,native,7,,,,"american searocket"
"Calamagrostis canadensis",,CACA4,native,2,,,,bluejoint
"Calamagrostis canadensis var. canadensis",,CACAC10,native,2,,,,bluejoint
"Calamagrostis canadensis var. macouniana",,CACAM,native,7,,,,"macouns reedgrass"
"Calamagrostis coarctata",,CACO71,native,4,,,,"arctic reedgrass"
"Calamagrostis pickeringii",,CAPI,native,7,,,,"pickerings reedgrass"
"Calamagrostis stricta",,CAST36,native,7,,,,"slimstem reedgrass"
"Calamagrostis stricta ssp. inexpansa",,CASTI3,native,7,,,,"northern reedgrass"
"Calamagrostis stricta ssp. stricta var. stricta",,CASTS5,native,7,,,,"slimstem reedgrass"
"Calendula officinalis",,CAOF,non-native,0,,,,"pot marigold"
"Calla palustris",,CAPA,native,6,,,,"water arum"
"Callitriche heterophylla",,CAHE3,native,5,,,,"twoheaded water-starwort"
"Callitriche heterophylla ssp. heterophylla",,CAHEH,native,5,,,,"twoheaded water-starwort"
"Callitriche palustris",,CAPA52,native,4,,,,"vernal water-starwort"
"Calluna vulgaris",,CAVU,non-native,0,,,,heather
"Calopogon tuberosus",,CATU5,native,8,,,,"tuberous grasspink"
"Caltha palustris",,CAPA5,native,6,,,,"yellow marsh marigold"
"Calypso bulbosa",,CABU,native,9,,,,"fairy slipper"
"Calystegia hederacea",,CAHE21,non-native,0,,,,"japanese false bindweed"
"Calystegia sepium",,CASE13,native,3,,,,"hedge false bindweed"
"Calystegia sepium ssp. appalachiana",,CASEA4,native,3,,,,"appalachia false bindweed"
"Calystegia spithamaea",,CASP14,native,4,,,,"low false bindweed"
"Camelina microcarpa",,CAMI2,non-native,0,,,,"littlepod false flax"
"Camelina sativa",,CASA2,non-native,0,,,,gold-of-pleasure
"Campanula aparinoides",,CAAP2,native,3,,,,"marsh bellflower"
"Campanula divaricata",,CADI3,non-native,0,,,,"small bonny bellflower"
"Campanula glomerata",,CAGL2,non-native,0,,,,"danes blood"
"Campanula patula",,CAPA44,non-native,0,,,,"spreading bellflower"
"Campanula punctata",,CAPU20,non-native,0,,,,"spotted bellflower"
"Campanula rapunculoides",,CARA,non-native,0,,,,"rampion bellflower"
"Campanula rotundifolia",,CARO2,native,8,,,,"bluebell bellflower"
"Campsis radicans",,CARA2,non-native,0,,,,"trumpet creeper"
"Cannabis sativa",,CASA3,non-native,0,,,,marijuana
"Capsella bursa-pastoris",,CABU2,non-native,0,,,,"shepherds purse"
"Cardamine bellidifolia",,CABE,native,10,,,,"alpine bittercress"
"Cardamine bulbosa",,CABU3,native,8,,,,"bulbous bittercress"
"Cardamine concatenata",,CACO26,native,7,,,,"cutleaf toothwort"
"Cardamine diphylla",,CADI10,native,7,,,,crinkleroot
"Cardamine douglassii",,CADO,native,6,,,,"limestone bittercress"
"Cardamine flexuosa",,CAFL14,non-native,0,,,,"woodland bittercress"
"Cardamine impatiens",,CAIM,non-native,0,,,,"narrowleaf bittercress"
"Cardamine longii",,CALO11,native,5,,,,"longs bittercress"
"Cardamine maxima",,CAMA36,native,8,,,,"large toothwort"
"Cardamine parviflora",,CAPA12,native,4,,,,"sand bittercress"
"Cardamine pensylvanica",,CAPE3,native,5,,,,"pennsylvania bittercress"
"Cardamine pratensis var. palustris",,CAPRP,native,3,,,,"cuckoo flower"
"Cardamine pratensis var. pratensis",,CAPRP,non-native,0,,,,"cuckoo flower"
"Carduus nutans",,CANU4,non-native,0,,,,"nodding plumeless thistle"
"Carex abscondita",,CAAB5,native,8,,,,"thicket sedge"
"Carex adusta",,CAAD2,native,4,,,,"lesser brown sedge"
"Carex aestivalis",,CAAE2,native,7,,,,"summer sedge"
"Carex alata",,CAAL3,native,5,,,,"broadwing sedge"
"Carex albicans",,CAPE11,native,5,,,,"pecks sedge"
"Carex albicans var. emmonsii",,CAALE,native,5,,,,"emmons sedge"
"Carex albursina",,CAAL11,native,8,,,,"white bear sedge"
"Carex amphibola",,CAAM8,native,7,,,,"eastern narrowleaf sedge"
"Carex annectens",,CAAN6,native,3,,,,"yellowfruit sedge"
"Carex appalachica",,CAAP5,native,6,,,,"appalachian sedge"
"Carex arcta",,CAAR2,native,6,,,,"northern cluster sedge"
"Carex arctata",,CAAR3,native,4,,,,"drooping woodland sedge"
"Carex argyrantha",,CAAR4,native,4,,,,"hay sedge"
"Carex atlantica",,CAAT4,native,4,,,,"prickly bog sedge"
"Carex atlantica ssp. capillacea",,CAATC,native,5,,,,"prickly bog sedge"
"Carex atratiformis",,CAAT6,native,8,,,,"scrabrous black sedge"
"Carex aurea",,CAAU3,native,5,,,,"golden sedge"
"Carex backii",,CABA3,native,6,,,,"backs sedge"
"Carex baileyi",,CABA7,native,5,,,,"baileys sedge"
"Carex bebbii",,CABE2,native,4,,,,"bebbs sedge"
"Carex bicknellii",,CABI3,native,4,,,,"bicknells sedge"
"Carex bigelowii",,CABI5,native,7,,,,"bigelows sedge"
"Carex blanda",,CABL,native,5,,,,"eastern woodland sedge"
"Carex brevior",,CABR10,native,3,,,,"shortbeak sedge"
"Carex bromoides",,CABR14,native,6,,,,"brome-like sedge"
"Carex brunnescens",,CABR15,native,4,,,,"brownish sedge"
"Carex bullata",,CABU7,native,7,,,,"button sedge"
"Carex buxbaumii",,CABU6,native,4,,,,"buxbaums sedge"
"Carex canescens",,CACA11,native,6,,,,"silvery sedge"
"Carex capillaris",,CACA12,native,8,,,,"hair-like sedge"
"Carex capitata",,CACA13,native,8,,,,"capitate sedge"
"Carex castanea",,CACA16,native,5,,,,"chestnut sedge"
"Carex cephaloidea",,CACE2,native,7,,,,"thinleaf sedge"
"Carex cephalophora",,CACE,native,5,,,,"oval-leaf sedge"
"Carex chordorrhiza",,CACH5,native,8,,,,"creeping sedge"
"Carex communis",,CACO7,native,4,,,,"fibrousroot sedge"
"Carex comosa",,CACO8,native,5,,,,"longhair sedge"
"Carex conoidea",,CACO14,native,3,,,,"openfield sedge"
"Carex crawfordii",,CACR4,native,3,,,,"crawfords sedge"
"Carex crinita",,CACR6,native,6,,,,"fringed sedge"
"Carex crinita var. gynandra",,CAGY4,native,2,,,,"nodding sedge"
"Carex cristatella",,CACR7,native,5,,,,"crested sedge"
"Carex cryptolepis",,CACR9,native,4,,,,"northeastern sedge"
"Carex cumulata",,CACU3,native,6,,,,"clustered sedge"
"Carex debilis",,CADE5,native,3,,,,"white edge sedge"
"Carex deflexa",,CADE7,native,6,,,,"northern sedge"
"Carex deweyana",,CADE9,native,7,,,,"dewey sedge"
"Carex diandra",,CADI4,native,6,,,,"lesser panicled sedge"
"Carex digitalis",,CADI5,native,5,,,,"slender woodland sedge"
"Carex disperma",,CADI6,native,6,,,,"softleaf sedge"
"Carex eburnea",,CAEB2,native,8,,,,"bristleleaf sedge"
"Carex echinata",,CAEC,native,3,,,,"star sedge"
"Carex echinata ssp. echinata",,CAECE,native,3,,,,"star sedge"
"Carex exilis",,CAEX7,native,8,,,,"coastal sedge"
"Carex flava",,CAFL4,native,4,,,,"yellow sedge"
"Carex folliculata",,CAFO6,native,5,,,,"northern long sedge"
"Carex garberi",,CAGA3,native,6,,,,"elk sedge"
"Carex glaucodea",,CAGL6,native,3,,,,"blue sedge"
"Carex gracillima",,CAGR2,native,5,,,,"graceful sedge"
"Carex granularis",,CAGR3,native,6,,,,"limestone meadow sedge"
"Carex grisea",,CAGR24,native,4,,,,"inflated narrow-leaf sedge"
"Carex gynandra",,CAGY4,native,2,,,,"nodding sedge"
"Carex haydenii",,CAHA7,native,4,,,,"haydens sedge"
"Carex hirsutella",,CAHI6,native,6,,,,"fuzzy wuzzy sedge"
"Carex hirtifolia",,CAHI5,native,5,,,,"pubescent sedge"
"Carex hormathodes",,CAHO8,native,6,,,,"marsh straw sedge"
"Carex houghtoniana",,CAHO9,native,3,,,,"houghtons sedge"
"Carex hystericina",,CAHY4,native,5,,,,"bottlebrush sedge"
"Carex interior",,CAIN11,native,7,,,,"inland sedge"
"Carex intumescens",,CAIN12,native,4,,,,"greater bladder sedge"
"Carex lacustris",,CALA16,native,5,,,,"hairy sedge"
"Carex lasiocarpa",,CALA11,native,7,,,,"woollyfruit sedge"
"Carex lasiocarpa var. americana",,CALA11,native,4,,,,"woollyfruit sedge"
"Carex laxiculmis",,CALA18,native,5,,,,"spreading sedge"
"Carex laxiflora",,CALA19,native,4,,,,"broad looseflower sedge"
"Carex lenticularis",,CALE8,native,7,,,,"lakeshore sedge"
"Carex leptalea",,CALE10,native,6,,,,"bristlystalked sedge"
"Carex leptonervia",,CALE11,native,4,,,,"nerveless woodland sedge"
"Carex limosa",,CALI7,native,7,,,,"mud sedge"
"Carex livida",,CALI,native,7,,,,"livid sedge"
"Carex lucorum",,CALU17,native,4,,,,"blue ridge sedge"
"Carex lupulina",,CALU4,native,6,,,,"hop sedge"
"Carex lurida",,CALU5,native,3,,,,"shallow sedge"
