Acronym,Scientific Name (NWPL/Mohlenbrock/Wilhelm & Rericha),Scientific Name Synonym             (Swink & Wilhelm/ Wilhelm & Rericha),Common Name           (NWPL/Mohlenbrock/Wilhelm & Rericha),Common Name          Synonym                  (Swink & Wilhelm/ Wilhelm & Rericha),Author,Midwest Region Wetland Indicator,NC-NE Region Wetland Indicator,Coefficient of Conservatism,Wetness Coefficient,Habit,Duration  ,Nativity,Scientific Family Name,Common Family Name
LACBIE,Lactuca biennis,Lactuca biennis,Wild Blue Lettuce,TALL BLUE LETTUCE,(Moench) Fern.,FAC,FAC,5,0,Forb,Biennial,Native,ASTERACEAE,Aster Family
LACCAN,Lactuca canadensis,Lactuca canadensis,Canadian Blue Lettuce,WILD LETTUCE,L.,FACU,FACU,1,1,Forb,Biennial,Native,ASTERACEAE,Aster Family
LACFLO,Lactuca floridana,Lactuca floridana,Woodland Lettuce,BLUE LETTUCE,(L.) Gaertn.,FACU,FACU,8,1,Forb,Biennial,Native,ASTERACEAE,Aster Family
LACHIR,Lactuca hirsuta,Lactuca hirsuta,Hairy Lettuce,HAIRY WILD LETTUCE,Muhl.,UPL,UPL,10,2,Forb,Biennial,Native,ASTERACEAE,Aster Family
LACLUD,Lactuca ludoviciana,Lactuca ludoviciana,Louisiana Lettuce,WESTERN WILD LETTUCE,(Nutt.) Riddell,FACU,UPL,10,1,Forb,Biennial,Native,ASTERACEAE,Aster Family
LACSAL,Lactuca saligna,LACTUCA SALIGNA,Willow-Leaf Lettuce,WILLOW LETTUCE,L.,FACU,FACU,0,1,Forb,Biennial,Adventive,ASTERACEAE,Aster Family
LACSAT,Lactuca sativa,LACTUCA SATIVA,Biennial Lettuce,BIENNIAL LETTUCE,L.,UPL,UPL,0,2,Forb,Biennial,Adventive,ASTERACEAE,Aster Family
LACSER,Lactuca serriola,LACTUCA SERRIOLA,Prickly Lettuce,PRICKLY LETTUCE,L.,FACU,FACU,0,1,Forb,Biennial,Adventive,ASTERACEAE,Aster Family
LAMAMP,Lamium amplexicaule,LAMIUM AMPLEXICAULE,Henbit,HENBIT,L.,UPL,UPL,0,2,Forb,Annual,Adventive,LAMIACEAE,Mint Family
LAMGAL,Lamium galeobdolon,LAMIASTRUM GALEOBDOLON,Golden Dead Nettle,YELLOW ARCHANGEL,(L.) L.,UPL,UPL,0,2,Forb,Perennial,Adventive,LAMIACEAE,Mint Family
LAMMAC,Lamium maculatum,LAMIUM MACULATUM,Spotted Dead Nettle,SPOTTED DEAD NETTLE,L.,UPL,UPL,0,2,Forb,Perennial,Adventive,LAMIACEAE,Mint Family
LAMPUR,Lamium purpureum,LAMIUM PURPUREUM,Purple Dead Nettle,PURPLE DEAD NETTLE,L.,UPL,UPL,0,2,Forb,Annual,Adventive,LAMIACEAE,Mint Family
LAPCAN,Laportea canadensis,Laportea canadensis,Canadian Wood-Nettle,WOOD NETTLE,(L.) Weddell,FACW,FACW,5,-1,Forb,Perennial,Native,URTICACEAE,Nettle Family
LAPOCC,Lappula occidentalis,LAPPULA REDOWSKII OCCIDENTALIS,Western Stickseed,WESTERN BEGGAR'S LICE,S. Wats.,UPL,UPL,0,2,Forb,Annual,Adventive,BORAGINACEAE,Borage Family
LAPRED,Lappula occidentalis,LAPPULA REDOWSKII OCCIDENTALIS,Western Stickseed,WESTERN BEGGAR'S LICE,S. Wats.,UPL,UPL,0,2,Forb,Annual,Adventive,BORAGINACEAE,Borage Family
LAPECH,Lappula squarrosa,LAPPULA ECHINATA,Two-Ray Stickseed,BEGGAR'S LICE,(Retz.) Dumort,UPL,UPL,0,2,Forb,Annual,Adventive,BORAGINACEAE,Borage Family
LAPSQU,Lappula squarrosa,LAPPULA ECHINATA,Two-Ray Stickseed,BEGGAR'S LICE,(Retz.) Dumort,UPL,UPL,0,2,Forb,Annual,Adventive,BORAGINACEAE,Borage Family
LAPCOM,Lapsana communis,LAPSANA COMMUNIS,Nipplewort,NIPPLEWORT,L.,UPL,UPL,0,2,Forb,Annual,Adventive,ASTERACEAE,Aster Family
LARDEC,Larix decidua,LARIX DECIDUA,European Larch,EUROPEAN LARCH,P. Mill.,UPL,UPL,0,2,Tree,Perennial,Adventive,PINACEAE,Pine Family
LARLAR,Larix laricina,Larix laricina,American Larch,TAMARACK,(Du Roi) K. Koch,FACW,FACW,10,-1,Tree,Perennial,Native,PINACEAE,Pine Family
LATHIR,Lathyrus hirsutus,LATHYRUS HIRSUTUS,Singletary Vetchling,SLENDER SWEET PEA,L.,FACU,FACU,0,1,Forb,Annual,Adventive,FABACEAE,Pea Family
LATJAP,Lathyrus japonicus var. maritimus,Lathyrus japonicus glaber,Sea Vetchling,BEACH PEA,(L.) Kartesz & Gandhi,FACU,FACU,10,1,Forb,Perennial,Native,FABACEAE,Pea Family
LATJAPG,Lathyrus japonicus var. maritimus,Lathyrus japonicus glaber,Sea Vetchling,BEACH PEA,(L.) Kartesz & Gandhi,FACU,FACU,10,1,Forb,Perennial,Native,FABACEAE,Pea Family
LATLAT,Lathyrus latifolius,LATHYRUS LATIFOLIUS,Everlasting Pea,EVERLASTING PEA,L.,UPL,UPL,0,2,Forb,Perennial,Adventive,FABACEAE,Pea Family
LATOCH,Lathyrus ochroleucus,Lathyrus ochroleucus,Pale Vetchling,PALE VETCHLING,Hook,UPL,UPL,10,2,Forb,Perennial,Native,FABACEAE,Pea Family
LATODO,Lathyrus odoratus,LATHYRUS ODORATUS,Sweet Pea,SWEET PEA,L.,UPL,UPL,0,2,Forb,Annual,Adventive,FABACEAE,Pea Family
LATPAL,Lathyrus palustris,Lathyrus palustris myrtifolius,Marsh Vetchling,MARSH VETCHLING,L.,FACW,FACW,7,-1,Forb,Perennial,Native,FABACEAE,Pea Family
LATPALM,Lathyrus palustris,Lathyrus palustris myrtifolius,Marsh Vetchling,MARSH VETCHLING,L.,FACW,FACW,7,-1,Forb,Perennial,Native,FABACEAE,Pea Family
LATSYL,Lathyrus sylvestris,LATHYRUS SYLVESTRIS,Perennial Pea,PERENNIAL PEA,L.,UPL,UPL,0,2,Forb,Perennial,Adventive,FABACEAE,Pea Family
LATTUB,Lathyrus tuberosus,LATHYRUS TUBEROSUS,Tuberous Vetchling,DUTCH MICE,L.,UPL,UPL,0,2,Forb,Perennial,Adventive,FABACEAE,Pea Family
LATVEN,Lathyrus venosus,Lathyrus venosus,Veiny Vetchling,VEINY PEA,Muhl. ex Willd.,FAC,FAC,8,0,Forb,Perennial,Native,FABACEAE,Pea Family
LECINT,Lechea intermedia,Lechea intermedia,Savanna Pinweed,SAVANNA PINWEED,Britt. ,UPL,UPL,10,2,Forb,Perennial,Native,CISTACEAE,Rockrose Family
LECMIN,Lechea minor,Lechea minor,Small Pinweed,SMALL PINWEED,L.,UPL,UPL,8,2,Forb,Perennial,Native,CISTACEAE,Rockrose Family
LECMUC,Lechea mucronata,Lechea villosa,Hairy Pinweed,HAIRY PINWEED,Raf.,UPL,UPL,7,2,Forb,Perennial,Native,CISTACEAE,Rockrose Family
LECVIL,Lechea mucronata,Lechea villosa,Hairy Pinweed,HAIRY PINWEED,Raf.,UPL,UPL,7,2,Forb,Perennial,Native,CISTACEAE,Rockrose Family
LECPUL,Lechea pulchella,Lechea pulchella,Pretty Pinweed,PRETTY PINWEED,Raf.,UPL,UPL,7,2,Forb,Perennial,Native,CISTACEAE,Rockrose Family
LECRAC,Lechea racemulosa,Lechea racemulosa,Narrow-Fruit Pinweed,NARROW-FRUITED PINWEED,Michx.,UPL,UPL,10,2,Forb,Perennial,Native,CISTACEAE,Rockrose Family
LECSTR,Lechea stricta,Lechea stricta,Bushy Pinweed,BUSHY PINWEED,Leggett,UPL,UPL,10,2,Forb,Perennial,Native,CISTACEAE,Rockrose Family
LECTEN,Lechea tenuifolia,Lechea tenuifolia,Narrow-Leaf Pinweed,SLENDER-LEAVED PINWEED,Michx.,UPL,UPL,10,2,Forb,Perennial,Native,CISTACEAE,Rockrose Family
LEELEN,Leersia lenticularis,Leersia lenticularis,Catchfly Grass,CATCHFLY GRASS,Michx.,OBL,OBL,10,-2,Grass,Perennial,Native,POACEAE,Grass Family
LEEORY,Leersia oryzoides,Leersia oryzoides,Rice Cut Grass,RICE CUT GRASS,(L.) Sw.,OBL,OBL,3,-2,Grass,Perennial,Native,POACEAE,Grass Family
LEEVIR,Leersia virginica,Leersia virginica,White Grass,WHITE GRASS,Willd.,FACW,FACW,5,-1,Grass,Perennial,Native,POACEAE,Grass Family
LEMAEQ,Lemna aequinoctialis,LEMNA AEQUINOCTIALIS,Lesser Duckweed,THREE-NERVED DUCKWEED,Welw.,OBL,OBL,0,-2,Forb,Annual,Adventive,LEMNACEAE,Duckweed Family
LEMGIB,Lemna gibba,Lemna gibba,Inflated Duckweed,SWOLLEN DUCKWEED,L.,OBL,OBL,5,-2,Forb,Annual,Native,LEMNACEAE,Duckweed Family
LEMMIO,Lemna minor,Lemna minor,Common Duckweed,SMALL DUCKWEED,L.,OBL,OBL,5,-2,Forb,Annual,Native,LEMNACEAE,Duckweed Family
LEMMIU,Lemna minuta,Lemna minuscula,Least Duckweed,DINKY DUCKWEED,Kunth,OBL,OBL,5,-2,Forb,Annual,Native,LEMNACEAE,Duckweed Family
LEMOBS,Lemna obscura,Lemna obscura,Little Duckweed,PURPLE DUCKWEED,(Austin) Daubs,OBL,OBL,5,-2,Forb,Annual,Native,LEMNACEAE,Duckweed Family
LEMPER,Lemna perpusilla,Lemna perpusilla,Minute Duckweed,LEAST DUCKWEED,Torr.,OBL,OBL,8,-2,Forb,Annual,Native,LEMNACEAE,Duckweed Family
LEMTRI,Lemna trisulca,Lemna trisulca,Ivy-Leaf Duckweed,FORKED DUCKWEED,L.,OBL,OBL,5,-2,Forb,Annual,Native,LEMNACEAE,Duckweed Family
LEMTUR,Lemna turionifera,Lemna turionifera,Turion Duckweed,PERENNIAL DUCKWEED,Landolt,OBL,OBL,2,-2,Forb,Perennial,Native,LEMNACEAE,Duckweed Family
LEMVAL,Lemna valdiviana,Lemna valdiviana,Pale Duckweed,PALE DUCKWEED,Phil.,OBL,OBL,10,-2,Forb,Annual,Native,LEMNACEAE,Duckweed Family
LENCUL,Lens culinaris,LENS CULINARIS,Lentil,LENTIL,Medik.,UPL,UPL,0,2,Forb,Annual,Adventive,FABACEAE,Pea Family
LEOLEY,Leontodon saxatilis,LEONTODON LEYSSERI,Lesser Hawkbit,HAWKBIT,Lam.,UPL,UPL,0,2,Forb,Perennial,Adventive,ASTERACEAE,Aster Family
LEOSAX,Leontodon saxatilis,LEONTODON LEYSSERI,Lesser Hawkbit,HAWKBIT,Lam.,UPL,UPL,0,2,Forb,Perennial,Adventive,ASTERACEAE,Aster Family
LEOCAR,Leonurus cardiaca,LEONURUS CARDIACA,Motherwort,MOTHERWORT,L.,UPL,UPL,0,2,Forb,Perennial,Adventive,LAMIACEAE,Mint Family
LEOSIB,Leonurus sibiricus,LEONURUS SIBIRICUS,Siberian Motherwort,SIBERIAN LION'S TAIL,L.,UPL,UPL,0,2,Forb,Biennial,Adventive,LAMIACEAE,Mint Family
LEPAPP,Lepidium appelianum,LEPIDIUM APPELIANUM,Globe-Pod Pepperwort,WHITETOP,Al-Shehbaz,UPL,UPL,0,2,Forb,Perennial,Adventive,BRASSICACEAE,Mustard Family
LEPCAM,Lepidium campestre,LEPIDIUM CAMPESTRE,Field Pepperwort,FIELD CRESS,(L.) R. Br.,UPL,UPL,0,2,Forb,Biennial,Adventive,BRASSICACEAE,Mustard Family
LEPCHA,Lepidium chalepense,LEPIDIUM CHALEPENSE,Lens-Podded Hoary Cress,LENS-PODDED HOARY CRESS,L.,UPL,UPL,0,2,Forb,Perennial,Adventive,BRASSICACEAE,Mustard Family
LEPDEN,Lepidium densiflorum,LEPIDIUM DENSIFLORUM,Miner's Pepperwort,SMALL PEPPERCRESS,Schrad.,FAC,FACU,0,0,Forb,Annual,Adventive,BRASSICACEAE,Mustard Family
CORDID,Lepidium didymum,CORONOPUS DIDYMUS,Wart Cress,WART CRESS,L.,UPL,UPL,0,2,Forb,Annual,Adventive,BRASSICACEAE,Mustard Family
LEPDID,Lepidium didymum,CORONOPUS DIDYMUS,Wart Cress,WART CRESS,L.,UPL,UPL,0,2,Forb,Annual,Adventive,BRASSICACEAE,Mustard Family
CARDRA,Lepidium draba,CARDARIA DRABA,Hoary Cress,HOARY CRESS,L.,UPL,UPL,0,2,Forb,Perennial,Adventive,BRASSICACEAE,Mustard Family
LEPDRA,Lepidium draba,CARDARIA DRABA,Hoary Cress,HOARY CRESS,L.,UPL,UPL,0,2,Forb,Perennial,Adventive,BRASSICACEAE,Mustard Family
LEPLAT,Lepidium latifolium,LEPIDIUM LATIFOLIUM,Broad-Leaf Pepperwort,BROAD-LEAVED PEPPERCRESS,L.,FACW,FACU,0,-1,Forb,Perennial,Adventive,BRASSICACEAE,Mustard Family
LEPPER,Lepidium perfoliatum,LEPIDIUM PERFOLIATUM,Clasping Pepperwort,CLASPING CRESS,L.,FAC,FACU,0,0,Forb,Annual,Adventive,BRASSICACEAE,Mustard Family
LEPRUD,Lepidium ruderale,LEPIDIUM RUDERALE,Stinking Pepperwort,FETID PEPPERCRESS,L.,UPL,UPL,0,2,Forb,Annual,Adventive,BRASSICACEAE,Mustard Family
LEPSAT,Lepidium sativum,LEPIDIUM SATIVUM,Garden Pepperwort,GARDEN CRESS,L.,UPL,UPL,0,2,Forb,Annual,Adventive,BRASSICACEAE,Mustard Family
LEPVIR,Lepidium virginicum,Lepidium virginicum,Poorman's-Pepperwort,COMMON PEPPERCRESS,L.,FACU,FACU,0,1,Forb,Annual,Native,BRASSICACEAE,Mustard Family
LEPCOG,Leptoloma cognatum,Leptoloma cognatum,Fall Witch Grass,FALL WITCH GRASS,(Schult.) Chase,UPL,UPL,1,2,Grass,Perennial,Native,POACEAE,Grass Family
LESBIC,Lespedeza bicolor,LESPEDEZA BICOLOR,Shrubby Bush-Clover,SHRUBBY BUSH CLOVER,Turcz.,UPL,UPL,0,1,Shrub,Perennial,Adventive,FABACEAE,Pea Family
LESCAP,Lespedeza capitata,Lespedeza capitata,Round-Head Bush-Clover,ROUND-HEADED BUSH CLOVER,Michx.,FACU,FACU,4,1,Forb,Perennial,Native,FABACEAE,Pea Family
LESCUN,Lespedeza cuneata,LESPEDEZA CUNEATA,Chinese Bush-Clover,SILKY BUSH CLOVER,(Dum.-Cours.) G. Don,UPL,UPL,0,2,Forb,Perennial,Adventive,FABACEAE,Pea Family
LESDAV,Lespedeza davurica,LESPEDEZA DAVURICA,Dahurian Bush-Clover,DAHURIAN BUSH CLOVER,(Laxm.) Schindl.,UPL,UPL,0,2,Forb,Perennial,Adventive,FABACEAE,Pea Family
LESFRU,Lespedeza frutescens,Lespedeza frutescens,Violet Bush-Clover,VIOLET BUSH CLOVER,(L.) Hornem,UPL,UPL,10,2,Forb,Perennial,Native,FABACEAE,Pea Family
LESHIR,Lespedeza hirta,Lespedeza hirta,Hairy Bush-Clover,HAIRY BUSH CLOVER,(L.) Hornem,UPL,UPL,7,2,Forb,Perennial,Native,FABACEAE,Pea Family
LESINT,Lespedeza intermedia,Lespedeza intermedia,Wand-Like Bush-Clover,WAND-LIKE BUSH CLOVER,(S. Wats.) Britt.,UPL,UPL,8,2,Forb,Perennial,Native,FABACEAE,Pea Family
LESLEP,Lespedeza leptostachya,Lespedeza leptostachya,Prairie Bush-Clover,PRAIRIE BUSH CLOVER,Engelm.,UPL,UPL,10,2,Forb,Perennial,Native,FABACEAE,Pea Family
LESPRO,Lespedeza procumbens,Lespedeza procumbens,Purple Bush-Clover,PURPLE BUSH CLOVER,Michx.,UPL,UPL,10,2,Forb,Perennial,Native,FABACEAE,Pea Family
LESTHU,Lespedeza thunbergii,LESPEDEZA THUNBERGII,Tall Bush-Clover,SHRUBBY BUSH CLOVER,(DC.) Nakai.,UPL,UPL,0,2,Shrub,Perennial,Adventive,FABACEAE,Pea Family
LESVIO,Lespedeza violacea ,Lespedeza violacea,Violet Bush-Clover,VIOLET BUSH CLOVER,(L.) Pers. ,UPL,UPL,10,2,Forb,Perennial,Native,FABACEAE,Pea Family
LESVIR,Lespedeza virginica ,Lespedeza virginica,Slender Bush-Clover,SLENDER BUSH CLOVER,(L.) Britt.,UPL,UPL,7,2,Forb,Perennial,Native,FABACEAE,Pea Family
LESLON,Lespedeza X longifolia,Lespedeza X longifolia,Hybrid Hairy Bush-Clover,HYBRID HAIRY BUSH CLOVER,DC.,UPL,UPL,7,2,Forb,Perennial,Native,FABACEAE,Pea Family
LESSIM,Lespedeza X simulata,Lespedeza X simulata,Hybrid Slender Bush-Clover,HYBRID SLENDER BUSH CLOVER,Mack. & Bush,UPL,UPL,7,2,Forb,Perennial,Native,FABACEAE,Pea Family
CHRLEU,Leucanthemum vulgare,CHRYSANTHEMUM LEUCANTHEMUM PINNATIFIDUM; LEUCANTHEMUM VULGARE VAR. PINNATIFIDUM,Ox-Eye Daisy,OX-EYE DAISY,Lam.,UPL,UPL,0,2,Forb,Perennial,Adventive,ASTERACEAE,Aster Family
LEUVUL,Leucanthemum vulgare,CHRYSANTHEMUM LEUCANTHEMUM PINNATIFIDUM; LEUCANTHEMUM VULGARE VAR. PINNATIFIDUM,Ox-Eye Daisy,OX-EYE DAISY,Lam.,UPL,UPL,0,2,Forb,Perennial,Adventive,ASTERACEAE,Aster Family
LEUVULP,Leucanthemum vulgare,CHRYSANTHEMUM LEUCANTHEMUM PINNATIFIDUM; LEUCANTHEMUM VULGARE VAR. PINNATIFIDUM,Ox-Eye Daisy,OX-EYE DAISY,Lam.,UPL,UPL,0,2,Forb,Perennial,Adventive,ASTERACEAE,Aster Family
LEUSUP,Leucanthemum X superbum,LEUCANTHEMUM X SUPERBUM,Shasta Daisy ,SHASTA DAISY,(J. W. Ingram) D. H. Kent,UPL,UPL,0,2,Forb,Perennial,Adventive,ASTERACEAE,Aster Family
LEUAES,Leucojum aestivum,LEUCOJUM AESTIVUM,Summer Snowﬂake,SNOWFLAKE,L.,UPL,UPL,0,2,Forb,Perennial,Adventive,AMARYLLIDACEAE,Amaryllis Family
CONMUL,Leucospora multifida,Conobea multifida,Narrow-Leaf Paleseed,OBE-WAN-CONOBEA,(Michx.) Nutt.,FACW,FACW,4,-1,Forb,Annual,Native,SCROPHULARIACEAE,Figwort Family
LEUMUL,Leucospora multifida,Conobea multifida,Narrow-Leaf Paleseed,OBE-WAN-CONOBEA,(Michx.) Nutt.,FACW,FACW,4,-1,Forb,Annual,Native,SCROPHULARIACEAE,Figwort Family
ELYARE,Leymus arenarius,ELYMUS ARENARIUS,European Lyme Grass,LYME GRASS,(L.) Hochst.,FACU,FACU,0,1,Grass,Perennial,Adventive,POACEAE,Grass Family
LEYARE,Leymus arenarius,ELYMUS ARENARIUS,European Lyme Grass,LYME GRASS,(L.) Hochst.,FACU,FACU,0,1,Grass,Perennial,Adventive,POACEAE,Grass Family
LIAASP,Liatris aspera,Liatris aspera,Rough Gayfeather,ROUGH BLAZING STAR,Michx.,UPL,UPL,8,2,Forb,Perennial,Native,ASTERACEAE,Aster Family
LIAASPA,Liatris aspera var. aspera,Liatris aspera,Rough Gayfeather,ROUGH BLAZING STAR,Michx.,UPL,UPL,8,2,Forb,Perennial,Native,ASTERACEAE,Aster Family
LIAASPI,Liatris aspera var. intermedia,Liatris aspera,Rough Gayfeather,ROUGH BLAZING STAR,(Lunell) Gaiser,UPL,UPL,8,2,Forb,Perennial,Native,ASTERACEAE,Aster Family
LIACYL,Liatris cylindracea,Liatris cylindracea,Cylindrical Gayfeather,CYLINDRICAL BLAZING STAR,Michx.,UPL,UPL,10,2,Forb,Perennial,Native,ASTERACEAE,Aster Family
LIAPUN,Liatris punctata var. nebraskana,LIATRIS PUNCTATA NEBRASKANA,Dotted Gayfeather,DOTTED BLAZING STAR,Gaiser,UPL,UPL,0,2,Forb,Perennial,Adventive,ASTERACEAE,Aster Family
LIAPUNN,Liatris punctata var. nebraskana,LIATRIS PUNCTATA NEBRASKANA,Dotted Gayfeather,DOTTED BLAZING STAR,Gaiser,UPL,UPL,0,2,Forb,Perennial,Adventive,ASTERACEAE,Aster Family
LIAPYC,Liatris pycnostachya,Liatris pycnostachya,Cat-Tail Gayfeather,PRAIRIE BLAZING STAR,Michx.,FAC,FAC,8,0,Forb,Perennial,Native,ASTERACEAE,Aster Family
LIASCA,Liatris scariosa var. nieuwlandii,Liatris scariosa nieuwlandii,Savanna Gayfeather,SAVANNA BLAZING STAR,(Lunell) E.G. Voss,UPL,UPL,9,2,Forb,Perennial,Native,ASTERACEAE,Aster Family
LIASCAN,Liatris scariosa var. nieuwlandii,Liatris scariosa nieuwlandii,Savanna Gayfeather,SAVANNA BLAZING STAR,(Lunell) E.G. Voss,UPL,UPL,9,2,Forb,Perennial,Native,ASTERACEAE,Aster Family
LIASPI,Liatris spicata,Liatris spicata,Dense Gayfeather,MARSH BLAZING STAR,(L.) Willd.,FAC,FAC,7,0,Forb,Perennial,Native,ASTERACEAE,Aster Family
LIGOBT,Ligustrum obtusifolium,LIGUSTRUM OBTUSIFOLIUM,Blunt-Leaf Privet,BORDER PRIVET,Sieb. & Zucc.,UPL,UPL,0,2,Shrub,Perennial,Adventive,OLEACEAE,Ash Family
LIGVUL,Ligustrum vulgare,LIGUSTRUM VULGARE,European Privet,COMMON PRIVET,L.,FACU,FACU,0,1,Shrub,Perennial,Adventive,OLEACEAE,Ash Family
LILHEN,Lilium henryi,LILIUM HENRYI,Henry's Lily,HENRY'S LILY,Baker,UPL,UPL,0,2,Forb,Perennial,Adventive,LILIACEAE,Lily Family
LILLAN,Lilium lancifolium,LILIUM LANCIFOLIUM,Tiger Lily,TIGER LILY,Thunb.,UPL,UPL,0,2,Forb,Perennial,Adventive,LILIACEAE,Lily Family
LILMIC,Lilium michiganense,Lilium michiganense,Michigan Lily,TURK'S CAP LILY,Farw.,FACW,FACW,8,-1,Forb,Perennial,Native,LILIACEAE,Lily Family
LILPEN,Lilium pensylvanicum,LILIUM PENSYLVANICUM,Candlestick Lily,CANDLESTICK LILY,Ker Gawl.,UPL,UPL,0,2,Forb,Perennial,Adventive,LILIACEAE,Lily Family
LILPHI,Lilium philadelphicum var. andinum,Lilium philadelphicum andinum,Wood Lily,PRAIRIE LILY,(Nutt.) Ker-Gawl.,FAC,FAC,10,0,Forb,Perennial,Native,LILIACEAE,Lily Family
LILPHIA,Lilium philadelphicum var. andinum,Lilium philadelphicum andinum,Wood Lily,PRAIRIE LILY,(Nutt.) Ker-Gawl.,FAC,FAC,10,0,Forb,Perennial,Native,LILIACEAE,Lily Family
LINDAL,Linaria genistifolia ssp. dalmatica,LINARIA DALMATICA,Dalmation Toadflax,DALMATIAN TOADFLAX,(L.) Maire & Petitmengin,UPL,UPL,0,2,Forb,Perennial,Adventive,SCROPHULARIACEAE,Figwort Family
LINGEN,Linaria genistifolia ssp. dalmatica,LINARIA DALMATICA,Dalmation Toadflax,DALMATIAN TOADFLAX,(L.) Maire & Petitmengin,UPL,UPL,0,2,Forb,Perennial,Adventive,SCROPHULARIACEAE,Figwort Family
LINMAC,Linaria macedonica,LINARIA MACEDONICA,Macedonion Toadfloax,MACEDONION TOADFLAX,Griseb.,UPL,UPL,0,2,Forb,Perennial,Adventive,SCROPHULARIACEAE,Figwort Family
LINVUL,Linaria vulgaris,LINARIA VULGARIS,Butter-and-Eggs,BUTTER-AND-EGGS,Mill,UPL,UPL,0,2,Forb,Perennial,Adventive,SCROPHULARIACEAE,Figwort Family
LINBEN,Lindera benzoin,Lindera benzoin,Northern Spicebush,SPICEBUSH,(L.) Blume,FACW,FACW,5,-1,Shrub,Perennial,Native,LAURACEAE,Laurel Family
LINDUB,Lindernia dubia,Lindernia dubia,Yellow-Seed False Pimpernel,FALSE PIMPERNEL,(L.) Pennell,OBL,OBL,4,-2,Forb,Annual,Native,SCROPHULARIACEAE,Figwort Family
LINANA,Lindernia dubia var. anagallidea,Lindernia anagallidea,Yellow-Seed False Pimpernel,SLENDER FALSE PIMPERNEL,(Michx.) Cooperrider,OBL,OBL,4,-2,Forb,Annual,Native,SCROPHULARIACEAE,Figwort Family
LINDUBA,Lindernia dubia var. anagallidea,Lindernia anagallidea,Yellow-Seed False Pimpernel,SLENDER FALSE PIMPERNEL,(Michx.) Cooperrider,OBL,OBL,4,-2,Forb,Annual,Native,SCROPHULARIACEAE,Figwort Family
LINDUBD,Lindernia dubia var. dubia,Lindernia dubia,Yellow-Seed False Pimpernel,FALSE PIMPERNEL,(L.) Pennell,OBL,OBL,4,-2,Forb,Annual,Native,SCROPHULARIACEAE,Figwort Family
LINBOR,Linnaea borealis ssp. longiflora,Linnaea borealis ssp. longiflora,American Twinflower,TWINFLOWER,Torr.,FAC,FAC,10,0,Shrub,Perennial,Native,CAPRIFOLIACEAE,Honeysuckle Family
LINBORA,Linnaea borealis ssp. longiflora,Linnaea borealis ssp. longiflora,American Twinflower,TWINFLOWER,Torr.,FAC,FAC,10,0,Shrub,Perennial,Native,CAPRIFOLIACEAE,Honeysuckle Family
LINBIE,Linum bienne,LINUM BIENNE,Pale Flax,PALE FLAX,Mill.,UPL,UPL,0,2,Forb,Biennial,Adventive,LINACEAE,Flax Family
LINGRA,Linum grandiflorum,LINUM GRANDIFLORUM,Garden Flax,GARDEN FLAX,Desf.,UPL,UPL,0,2,Forb,Annual,Adventive,LINACEAE,Flax Family
LININT,Linum intercursum,Linum intercursum,Sandplain Flax ,SOUTHERN YELLOW FLAX,Bickn. ,UPL,FACU,10,2,Forb,Perennial,Native,LINACEAE,Flax Family
LINMED,Linum medium var. texanum,Linum medium texanum,Stiff Yellow Flax,SMALL YELLOW FLAX,(Planch.) Fern.,FACU,FACU,8,1,Forb,Perennial,Native,LINACEAE,Flax Family
LINMEDT,Linum medium var. texanum,Linum medium texanum,Stiff Yellow Flax,SMALL YELLOW FLAX,(Planch.) Fern.,FACU,FACU,8,1,Forb,Perennial,Native,LINACEAE,Flax Family
LINPER,Linum perenne,LINUM PERENNE,Flax,PERENNIAL FLAX,L.,UPL,UPL,0,2,Forb,Perennial,Adventive,LINACEAE,Flax Family
LINRIG,Linum rigidum var. compactum,LINUM RIGIDUM VAR. COMPACTUM,Stiff Flax,STIFF FLAX,(A. Nelson) C. M. Rogers,UPL,UPL,0,2,Forb,Annual,Adventive,LINACEAE,Flax Family
LINSTR,Linum striatum,Linum striatum,Ridged Yellow Flax,STIFF YELLOW FLAX,Walt.,FACW,FACW,10,-1,Forb,Perennial,Native,LINACEAE,Flax Family
LINSUL,Linum sulcatum,Linum sulcatum,Wild Flax,GROOVED YELLOW FLAX,Riddell. ,UPL,UPL,10,2,Forb,Perennial,Native,LINACEAE,Flax Family
LINUSI,Linum usitatissimum,LINUM USITATISSIMUM,Common Flax,COMMON FLAX,L.,UPL,UPL,0,2,Forb,Annual,Adventive,LINACEAE,Flax Family
LINVIR,Linum virginianum,Linum virginianum,Woodland Flax,SLENDER YELLOW FLAX,L.,FAC,FAC,10,0,Forb,Perennial,Native,LINACEAE,Flax Family
LIPLIL,Liparis lilifolia,Liparis lilifolia,Brown Wide-Lip Orchid,PURPLE TWAYBLADE,(L.) L.C. Rich. ex Ker-Gawl.,FACU,FACU,4,1,Forb,Perennial,Native,ORCHIDACEAE,Orchid Family
LIPLOE,Liparis loeselii,Liparis loeselii,Yellow Wide-Lip Orchid,GREEN TWAYBLADE,(L.) L.C. Rich.,FACW,FACW,4,-1,Forb,Perennial,Native,ORCHIDACEAE,Orchid Family
HEMDRU,Lipocarpha drummondii,Hemicarpha drummondii,Drummond's Halfchaff Sedge,DRUMMONDS BULRUSH,(Nees) G. Tucker,FACW,FACW,6,-1,Sedge,Annual,Native,CYPERACEAE,Sedge Family
